status.region;регіон
dialog.settings.rendering.layers;Шари
dialog.settings.rendering.layers.render_caves;Відмальовувати печери
dialog.goto.title;Перейти до локації
dialog.confirmation.question;Ви впевнені?
dialog.delete_chunks_confirmation.title;Видалити чанк
dialog.delete_chunks_confirmation.header_short;Ви збираєтеся видалити невідому кількість чанків з цього світу.
dialog.delete_chunks_confirmation.header_verbose;Ви збираєтеся видалити %d чанків з цього світу.
dialog.image_export_confirmation.title;Зберегти як зображення
dialog.image_export_confirmation.header_short;Ви збираєтеся створити зображення з невідомим розміром.
dialog.image_export_confirmation.header_verbose;Ви збираєтеся створити зображення з розміром %dx%d.
dialog.import_chunks_confirmation.title;Імпортувати чанки
dialog.import_chunks_confirmation.header;Ви збираєтеся імпортувати невідому кількість чанків до цього світу.
dialog.import_chunks_confirmation.options;Параметри
dialog.import_chunks_confirmation.options.offset;Зсув
dialog.import_chunks_confirmation.options.overwrite;Перезаписати існуючі чанки
dialog.import_chunks_confirmation.options.selection_only;Застосувати лише до виділених
dialog.import_chunks_confirmation.options.y_offset;Зміщення по осі Y
dialog.import_chunks_confirmation.options.sections;Виділення
dialog.import_chunks_confirmation.warning;Увага: Імпорт чанків зі зміщенням не змінить вміст командних блоків.
dialog.export_chunks_confirmation.title;Експортувати чанки
dialog.export_chunks_confirmation.header_short;Ви збираєтеся експотувати невідому кількість чанків з цього світу.
dialog.export_chunks_confirmation.header_verbose;Ви збираєтеся експотувати %d чанків з цього світу.
dialog.import_selection.title;Імпортувати виділення з .csv файлу
dialog.import_selection.header;Цей світ уже має виділення.\nЯк би ви хотіли імпортувати виділення?
dialog.import_selection.overwrite;Перезаписати
dialog.import_selection.merge;Об'єднати
dialog.filter_chunks.title;Відфільтрувати чанки
dialog.filter_chunks.filter.add.tooltip;Додати нову умову під цією.
dialog.filter_chunks.filter.delete.tooltip;Видалити цю умову.
dialog.filter_chunks.filter.type.tooltip;Тип цієї умови.
dialog.filter_chunks.filter.operator.tooltip;Оператор для зв'язку декількох умов.
dialog.filter_chunks.filter.comparator.tooltip;Компаратор.
dialog.filter_chunks.select;Виділити
dialog.filter_chunks.select.tooltip;Створює набір виділених чанків.
dialog.filter_chunks.export;Експорт
dialog.filter_chunks.export.tooltip;Експортувати всі виділені чанки до нової папки.
dialog.filter_chunks.delete;Видалити
dialog.filter_chunks.delete.tooltip;Виділити всі виділені чанки зі світу.
dialog.filter_chunks.selection_only;Застосувати лише до виділених чанків
dialog.filter_chunks.overwrite_selection;Перезаписати виділення
dialog.filter_chunks.selection_radius;Радіус виділення
dialog.filter_chunks.tab_query;Запит
dialog.filter_chunks.tab_script;Сценарій
dialog.edit_overlays.title;Редагувати накладання
dialog.edit_overlays.overlay_active.tooltip;Активний
dialog.edit_overlays.delete.tooltip;Видалити
dialog.edit_overlays.tab_presets;Накладки
dialog.edit_overlays.tab_script;Скрипт
dialog.edit_overlays.create_overlay;Створити накладку
dialog.change_nbt.title;Змінити NBT
dialog.change_nbt.change;Змінити
dialog.change_nbt.change.tooltip;Змінити значення якщо його ключ існує
dialog.change_nbt.force;Примусово
dialog.change_nbt.force.tooltip;Створити тег якщо його не існує.
dialog.change_nbt.selection_only;Застосувати лише до виділеного
dialog.change_nbt.selection_only.tooltip;Цей фільтр повинен застосовуватися лише до даного виділення.
dialog.change_nbt_confirmation.title;Змінити NBT
dialog.change_nbt_confirmation.header_short;Ви збираєтеся змінити дані у невідомій кількості чанків у цьому світі.
dialog.change_nbt.tab_query;Запит
dialog.change_nbt.tab_script;Сценарій
dialog.edit_nbt.title;Редагувати чанк
dialog.edit_nbt.placeholder.loading;завантаження...
dialog.edit_nbt.placeholder.no_chunk_data;не знайдено інформації про чанк
dialog.edit_nbt.placeholder.no_region_file;файл регіону не існує
dialog.edit_array.index;Індекс
dialog.edit_array.value;Значення
dialog.about.title;Про
dialog.about.header;Про MCA Selector
dialog.about.version;Версія:
dialog.about.version.unknown;невідома
dialog.about.version.check;перевірено
dialog.about.version.checking;перевірка...
dialog.about.version.up_to_date;Остання версія
dialog.about.version.error;Помилка
dialog.about.license;Ліцензія:
dialog.about.copyright;Копірайт:
dialog.about.source;Джерельний код:
dialog.progress.no_files;немає файлів
dialog.progress.running;запуск...
dialog.progress.cancelling;відміна...
dialog.progress.collecting_data;збір інформації...
dialog.progress.done;готово.
dialog.progress.scanning_files;Сканування файлів...
dialog.progress.title.loading_world;завантаження світу...
dialog.progress.title.deleting_selection;Видалення вибірки...
dialog.progress.title.creating_image;Створення зображення...
dialog.progress.title.saving_image;Збереження зображення...
dialog.progress.title.exporting_selection;Експорт виділення...
dialog.progress.title.importing_chunks;Імпорт чанків...
dialog.progress.title.deleting_filtered_chunks;Видалення відфільтрованих чанків...
dialog.progress.title.exporting_filtered_chunks;Експорт відфільтрованих чанків...
dialog.progress.title.selecting_filtered_chunks;Виділення відфільтрованих чанків...
dialog.progress.title.changing_nbt_data;Зміна NBT даних...
dialog.progress.title.saving_chunk;Збереження чанку...
dialog.progress.title.running_before;Виконати "before()"...
dialog.progress.title.running_after;Виконати "after()"...
dialog.progress.title.summing;Порахуйте суму...
dialog.error.button.copy_to_clipboard;Копіювати до буфера обміну
dialog.error.title;Помилка
dialog.error.header;Сталася помика
dialog.error.copied_to_clipboard;Скопійовано до буферу обміну!
dialog.unsaved_selection.title;Не збережене виділення
dialog.unsaved_selection.header;Це не збережене виділення.
dialog.unsaved_script.title;Незбережений скрипт
dialog.unsaved_script.header;Є незбережений скрипт.
dialog.request_number.title.array_length;Довжина масиву
dialog.request_number.title.enter_number;Значення
button.cancel;Скасувати
button.ok;OK
