status.region;region
dialog.image_export_confirmation.title;Eksportuj obraz
dialog.image_export_confirmation.header_short;Masz zamiar stworzyć obraz o nieznanych proporcjach.
dialog.image_export_confirmation.header_verbose;Masz zamiar utworzyć obraz o wymiarach %dx%d.
dialog.import_chunks_confirmation.title;Importuj chunki
dialog.import_chunks_confirmation.header;Zamierzasz zaimportować nieokreśloną liczbę chunków do tego świata.
dialog.import_chunks_confirmation.options;Opcje
dialog.import_chunks_confirmation.options.offset;Offset
dialog.import_chunks_confirmation.options.overwrite;Nadpisz istniejące chunki
dialog.import_chunks_confirmation.options.selection_only;Zastosuj tylko do zaznaczenia
dialog.import_chunks_confirmation.options.y_offset;Y-Offset
dialog.import_chunks_confirmation.options.sections;Sekcje
dialog.import_chunks_confirmation.warning;Uwaga: Importowanie chunków z offsetem nie zmieni zawartości bloków poleceń.
dialog.export_chunks_confirmation.title;Eksportuj chunki
dialog.export_chunks_confirmation.header_short;Zamierzasz wyeksportować nieokreśloną liczbę chunków z tego świata.
dialog.export_chunks_confirmation.header_verbose;Zamierzasz wyeksportować %d chunków z tego świata.
dialog.import_selection.title;Importuj zaznaczenie z .csv
dialog.import_selection.header;Ten świat ma już wybór.\nJak należy zaimportować nowy wybór?
dialog.import_selection.overwrite;Przepisać
dialog.import_selection.merge;Dodać
dialog.import_selection.subtract;Odejmij
dialog.filter_chunks.title;Filtruj chunki
dialog.filter_chunks.filter.add.tooltip;Dodaj nowy warunek poniżej
dialog.filter_chunks.filter.delete.tooltip;Usuń ten warunek
dialog.filter_chunks.filter.type.tooltip;Typ warunku
dialog.filter_chunks.filter.operator.tooltip;Operator łączący kilka warunków.
dialog.filter_chunks.filter.comparator.tooltip;Względność między warunkiem a wartością.
dialog.filter_chunks.select;Zaznacz
dialog.filter_chunks.select.tooltip;Zaznacza chunki wybrane przez filtr.
dialog.filter_chunks.export;Eksportuj
dialog.filter_chunks.export.tooltip;Eksportuje wszystkie wybrane przez filtr chunki do nowego katalogu.
dialog.filter_chunks.delete;Usuń
dialog.filter_chunks.delete.tooltip;Usuwa ze świata chunki wybrane przez filtr.
dialog.filter_chunks.selection_only;Zastosuj tylko do zaznaczenia
dialog.filter_chunks.add_selection;Dodaj zaznaczenie
dialog.filter_chunks.subtract_selection;Odejmij zaznaczenie
dialog.filter_chunks.selection_radius;Promień zaznaczenia
dialog.filter_chunks.tab_query;Zapytanie
dialog.filter_chunks.tab_script;Scenariusz
dialog.edit_overlays.title;Edytuj nakładki
dialog.edit_overlays.overlay_active.tooltip;Aktywny
dialog.edit_overlays.delete.tooltip;Usunąć
dialog.edit_overlays.tab_presets;Nakładki
dialog.edit_overlays.tab_script;Skrypt
dialog.edit_overlays.create_overlay;Utwórz nakładkę
dialog.change_nbt.title;Zmień NBT
dialog.change_nbt.change;Zmień
dialog.change_nbt.change.tooltip;Zmienia wartość tylko jeśli jej klucz istnieje.
dialog.change_nbt.force;Wymuś
dialog.change_nbt.force.tooltip;Tworzy tag jeśli nie istnieje.
dialog.change_nbt.selection_only;Zastosuj tylko do zaznaczenia
dialog.change_nbt.selection_only.tooltip;Zaznacz jeśli chcesz wprowadzać zmiany tylko w obecnym zaznaczeniu.
dialog.change_nbt_confirmation.title;Zmień NBT
dialog.change_nbt_confirmation.header_short;Zamierzasz zmienić dane w nieznanej ilości chunków w tym świecie.
dialog.change_nbt.tab_query;Zapytanie
dialog.change_nbt.tab_script;Scenariusz
dialog.edit_nbt.title;Edytuj chunk
dialog.edit_nbt.placeholder.loading;ładowanie...
dialog.edit_nbt.placeholder.no_chunk_data;nie znaleziono danych chunków
dialog.edit_nbt.placeholder.no_region_file;plik regionu nie istnieje
dialog.edit_array.index;Indeks
dialog.edit_array.value;Wartość
dialog.about.title;O programie MCA Selector
dialog.about.header;O programie MCA Selector
dialog.about.version;Wersja:
dialog.about.version.unknown;nieznany
dialog.about.version.check;sprawdź
dialog.about.version.checking;sprawdzanie...
dialog.about.version.up_to_date;Up to date
dialog.about.version.error;Błąd
dialog.about.license;Licencja:
dialog.about.copyright;Prawa autorskie:
dialog.about.source;Źródło:
dialog.progress.no_files;brak plików
dialog.progress.running;praca w toku...
dialog.progress.cancelling;anulowanie...
dialog.progress.collecting_data;zbieranie informacji...
dialog.progress.done;Gotowe.
dialog.progress.scanning_files;Skanowanie plików...
dialog.progress.title.loading_world;Ładowanie świata...
dialog.progress.title.deleting_selection;Usuwanie zaznaczenia...
dialog.progress.title.creating_image;Tworzę obraz...
dialog.progress.title.saving_image;Zapisywanie obrazu...
dialog.progress.title.exporting_selection;Eksportowanie zaznaczenia...
dialog.progress.title.importing_chunks;Importowanie chunków...
dialog.progress.title.deleting_filtered_chunks;Filtrowanie i usuwanie...
dialog.progress.title.exporting_filtered_chunks;Filtrowanie i eksportowanie...
dialog.progress.title.selecting_filtered_chunks;Filtrowanie i zaznaczanie...
dialog.progress.title.changing_nbt_data;Zmienianie danych NBT...
dialog.progress.title.saving_chunk;Zapisywanie fragmentu do pliku...
dialog.progress.title.running_before;Wykonaj "before()"...
dialog.progress.title.running_after;Wykonaj "after()"...
dialog.progress.title.summing;Policz kwotę...
dialog.error.button.copy_to_clipboard;Skopiuj do schowka
dialog.error.title;Błąd
dialog.error.header;Wystąpił błąd
dialog.error.copied_to_clipboard;Skopiowane do schowka!
dialog.unsaved_selection.title;Niezapisany wybór
dialog.unsaved_selection.header;Istnieje niezapisany wybór.
dialog.unsaved_script.title;Niezapisany skrypt
dialog.unsaved_script.header;Istnieje niezapisany skrypt.
dialog.request_number.title.array_length;Długość tablicy
dialog.request_number.title.enter_number;Wartość
button.cancel;Anuluj
button.ok;OK
dialog.replace_blocks.builder.button;Konstruktor
dialog.replace_blocks.builder.title;Konstruktor ReplaceBlocks
dialog.replace_blocks.builder.from;Blok źródłowy
dialog.replace_blocks.builder.to;Blok docelowy
dialog.replace_blocks.builder.add_rule;Dodaj regułę
dialog.replace_blocks.builder.delete_rule;Usuń regułę
dialog.replace_blocks.builder.rules;Reguły
dialog.replace_blocks.builder.rules.empty;Nie dodano jeszcze reguł. Wypełnij bloki źródłowy i docelowy, a następnie kliknij „Dodaj regułę”.
dialog.replace_blocks.builder.result;Wygenerowane wyrażenie ReplaceBlocks
dialog.replace_blocks.builder.invalid;Nieprawidłowy ID bloku lub wygenerowana reguła.
dialog.replace_blocks.builder.duplicate;Ta reguła już istnieje.
dialog.replace_blocks.builder.empty;Dodaj co najmniej jedną regułę.
dialog.replace_blocks.builder.advanced;Bloki źródłowy i docelowy akceptują pełny SNBT stanu bloku zawierający Name. Inne złożone reguły można edytować bezpośrednio w wyrażeniu ReplaceBlocks.
dialog.replace_blocks.builder.tile_source.any;Dodatkowe NBT: dowolne
dialog.replace_blocks.builder.tile_source.require;Dodatkowe NBT: obecne
dialog.replace_blocks.builder.tile_source.exclude;Dodatkowe NBT: brak
dialog.replace_blocks.builder.y_min;Min. Y
dialog.replace_blocks.builder.y_max;Maks. Y
dialog.replace_blocks.builder.biome;Biom
dialog.replace_blocks.builder.biome.prompt;minecraft:plains;minecraft:forest
dialog.replace_blocks.builder.source_constraints;Ograniczenia źródła (opcjonalne)
dialog.replace_blocks.builder.catalog;Block catalogue
dialog.replace_blocks.builder.catalog_switch.title;Switch block catalogue
dialog.replace_blocks.builder.catalog_switch.message;Przełączenie z %s na %s odrzuci wszystkie reguły, wersje robocze i wybory Konstruktora. Kontynuować?
dialog.replace_blocks.builder.catalog.note;Steruje tylko sugestiami bloków i właściwościami; identyfikatory nie są konwertowane. Jeśli Konstruktor zawiera dane, przełączenie wymaga potwierdzenia, a następnie czyści zawartość.
dialog.replace_blocks.builder.catalog.source_unknown;Source "%s" is not in the Java %s catalogue; it will still be accepted as entered.
dialog.replace_blocks.builder.catalog.target_unknown;Target "%s" is not in the Java %s catalogue; it will still be accepted, but verify that the target world supports this ID.
dialog.replace_blocks.builder.preset.persist_failed;Could not write the configuration; the preset change was rolled back.
dialog.replace_blocks.builder.preset;Ustawienie wstępne
dialog.replace_blocks.builder.preset.prompt;Wybierz ustawienie
dialog.replace_blocks.builder.preset.apply;Zastosuj ustawienie
dialog.replace_blocks.builder.preset.save;Zapisz ustawienie
dialog.replace_blocks.builder.preset.delete;Usuń ustawienie
dialog.replace_blocks.builder.preset.title;Ustawienia wstępne ReplaceBlocks
dialog.replace_blocks.builder.preset.save.title;Zapisz ustawienie wstępne ReplaceBlocks
dialog.replace_blocks.builder.preset.save.header;Zapisz wygenerowane reguły jako ustawienie wstępne Konstruktora do ponownego użycia.
dialog.replace_blocks.builder.preset.save.name;Nazwa ustawienia
dialog.replace_blocks.builder.preset.name_empty;Wprowadź nazwę ustawienia.
dialog.replace_blocks.builder.preset.builtin_locked;Nie można nadpisać wbudowanych nazw ustawień.
dialog.replace_blocks.builder.preset.overwrite_confirm;Ustawienie o nazwie „%s” już istnieje. Nadpisać?
dialog.replace_blocks.builder.preset.delete_confirm;Usunąć ustawienie „%s"?
dialog.replace_blocks.builder.preset.replace_confirm;Załadowanie tego ustawienia zastąpi bieżące reguły Konstruktora i wprowadzane dane.
dialog.replace_blocks.builder.preset.saved;Ustawienie „%s" zapisane.
dialog.replace_blocks.builder.preset.already_filled;To ustawienie jest już obecne na liście reguł.
dialog.replace_blocks.builder.discard.title;Odrzucić zmiany w Konstruktorze?
dialog.replace_blocks.builder.discard.header;Odrzucić zmiany wprowadzone w tym Konstruktorze? Pole ReplaceBlocks zachowa wartość sprzed jego otwarcia.
dialog.replace_blocks.builder.discard.action;Odrzuć zmiany
dialog.replace_blocks.builder.continue_editing.action;Kontynuuj edycję
dialog.replace_blocks.builder.preset.air_to_stone;Powietrze -> kamień
dialog.replace_blocks.builder.preset.fluids_to_air;Płyny -> powietrze
dialog.replace_blocks.builder.preset.logs_leaves_to_air;Pnie/liście -> powietrze
dialog.replace_blocks.builder.preset.ores_to_stone;Rudy -> kamień
dialog.replace_blocks.builder.preset.containers_to_air;Pojemniki z dodatkowym NBT -> powietrze
dialog.replace_blocks.builder.preset.warning_air;Zastępowanie powietrza może tworzyć brakujące lub rzadkie sekcje. Najpierw podejrzyj na małym skopiowanym zaznaczeniu.
dialog.replace_blocks.builder.preset.warning_containers;Ustawienie pojemników dopasowuje tylko pozycje z dodatkowym NBT, ale zastąpienie może usunąć przechowywaną zawartość, taką jak skrzynie i beczki. Najpierw podejrzyj na skopiowanym świecie.
dialog.replace_blocks.builder.edit_rule;Wczytaj regułę
dialog.replace_blocks.builder.property.all;wszystko
dialog.replace_blocks.builder.help.button;Pomoc
dialog.replace_blocks.builder.help.title;Pomoc Konstruktora ReplaceBlocks
dialog.replace_blocks.builder.help.nbt.title;Warunek dodatkowego NBT
dialog.replace_blocks.builder.help.nbt.intro;Dodatkowe NBT to dane encji bloku zapisane w pozycji bloku, takie jak tekst tabliczek, zawartość pojemników, postęp pieca czy polecenia bloku poleceń. Ta opcja sprawdza tylko, czy pozycja źródłowa ma takie dane; nie kontroluje ich zawartości.
dialog.replace_blocks.builder.help.nbt.any;Dodatkowe NBT: dowolne – dopasowanie według nazwy bloku i właściwości, niezależnie od danych encji bloku. Dla zwykłych bloków lub gdy odrzucenie istniejących dodatkowych danych jest dopuszczalne.
dialog.replace_blocks.builder.help.nbt.present;Dodatkowe NBT: obecne – dopasowanie tylko do pozycji, które już mają dane encji bloku. Użyj, aby celowo kierować na skrzynie, beczki, tabliczki, piece, spawnery lub podobne bloki danych; generuje tile(...).
dialog.replace_blocks.builder.help.nbt.absent;Dodatkowe NBT: brak – dopasowanie tylko do pozycji bez danych encji bloku. Użyj, aby uniknąć zawartości pojemników, tekstu tabliczek i podobnych danych, lub aby wyczyścić nietypowe bloki o tej samej nazwie bez encji; generuje no_tile(...).
dialog.replace_blocks.builder.help.nbt.note;To ustawienie filtruje tylko stronę źródłową. Jeśli strona docelowa potrzebuje SNBT encji bloku, nadal używaj zaawansowanego wprowadzania tekstu.
dialog.replace_blocks.builder.help.biome.title;Warunek biomu
dialog.replace_blocks.builder.help.biome.intro;Filtrowanie biomu sprawdza biom w każdej pozycji bloku kandydującego. W nowoczesnych chunkach 1.18+ jedna wartość biomu obejmuje obszar 4×4×4 bloków, więc pobliskie bloki w tej komórce mają ten sam warunek biomu.
dialog.replace_blocks.builder.help.biome.syntax;Pozostaw pole biomu Konstruktora puste, aby nie stosować ograniczenia biomu. Wprowadź jeden identyfikator biomu lub kilka oddzielonych średnikami; wygenerowane reguły używają biome(..., source).
dialog.replace_blocks.validation.source_empty;Wprowadź ID bloku źródłowego.
dialog.replace_blocks.validation.target_empty;Wprowadź ID bloku docelowego.
dialog.replace_blocks.validation.source_unknown;Nieznany blok źródłowy „%s”.
dialog.replace_blocks.validation.target_unknown;Nieznany blok docelowy „%s”.
dialog.replace_blocks.validation.source_format;ID bloku źródłowego musi mieć postać minecraft:stone lub modid:block_name.
dialog.replace_blocks.validation.target_format;ID bloku docelowego musi mieć postać minecraft:dirt lub modid:block_name.
dialog.replace_blocks.validation.missing_equals;Każda reguła ReplaceBlocks wymaga from=to.
dialog.replace_blocks.validation.state_snbt;SNBT stanu bloku musi być prawidłowym compoundem, na przykład {Name:"minecraft:stone"}.
dialog.replace_blocks.validation.tile_empty;Po ; brakuje SNBT encji bloku.
dialog.replace_blocks.validation.tile_snbt;SNBT encji bloku musi być prawidłowym compoundem.
dialog.replace_blocks.validation.trailing;Nieoczekiwany tekst po tej regule. Reguły oddzielaj przecinkami.
dialog.replace_blocks.validation.target_quote;Docelowemu blokowi w cudzysłowie brakuje zamykającego cudzysłowu.
dialog.replace_blocks.validation.quoted_target_ambiguous;Docelowe bloki w cudzysłowie są podatne na błędy przed kolejną regułą lub SNBT encji bloku. Zamiast tego użyj {Name:"modid:block"}.
dialog.replace_blocks.validation.source_regex;Źródło „%s” jest traktowane jako wyrażenie regularne Java podczas dopasowywania bloków.
dialog.replace_blocks.validation.source_mode_wrapper;Opakowania trybu źródłowego muszą być literal(...), regex(...), props(...), tile(...) lub no_tile(...).
dialog.replace_blocks.validation.source_literal;Źródło literal(...) musi zawierać prawidłowy ID bloku. Nieprawidłowe źródło: „%s”.
dialog.replace_blocks.validation.source_regex_syntax;Źródło regex(...) musi zawierać prawidłowe wyrażenie regularne Java.
dialog.replace_blocks.validation.source_props;Źródło props(...) musi zawierać SNBT stanu bloku z Name i co najmniej jedną wybraną właściwością.
dialog.replace_blocks.validation.source_y_range;Źródło y(...) musi używać min..max z co najmniej jedną granicą całkowitą, na przykład y(-64..64, literal(minecraft:stone)).
dialog.replace_blocks.validation.source_biome;Źródło biome(...) musi używać prawidłowych ID biomów rozdzielonych średnikami, a po nich wyrażenia źródłowego, na przykład biome(minecraft:plains, literal(minecraft:stone)).
dialog.change_nbt.query_invalid;Invalid change query: %s
dialog.change_nbt.replace_blocks_query_quote;In the advanced query field, wrap ReplaceBlocks values in double quotes, for example ReplaceBlocks = "minecraft:stone=minecraft:dirt".
dialog.replace_blocks.preview.button;Podgląd
dialog.replace_blocks.preview.title;Podgląd ReplaceBlocks
dialog.replace_blocks.preview.no_field;Wprowadź prawidłową wartość ReplaceBlocks przed uruchomieniem podglądu.
dialog.replace_blocks.preview.result;Próba na sucho zakończona.\nPrzeskanowane regiony: %d\nPrzeskanowane chunki: %d\nDotknięte chunki: %d\nDotknięte sekcje: %d\nDopasowane bloki: %d\nEncje bloku do dodania: %d\nEncje bloku do usunięcia: %d\nEncje bloku do aktualizacji: %d
dialog.replace_blocks.preview.rules;Dopasowania reguł:
dialog.replace_blocks.preview.rule;#%d [%s] %s -> %s: %d
dialog.replace_blocks.preview.warning_air;Zastępowanie powietrza może przed zastąpieniem uzupełnić brakujące sekcje. Podgląd zliczył %d brakujących lub niekompletnych sekcji powietrza.
dialog.replace_blocks.preview.warning_overlap;%d pozycji bloków dopasowało się do więcej niż jednej reguły. Liczniki poszczególnych reguł uwzględniają każde dopasowanie, więc ich suma może być większa niż liczba dopasowanych bloków.
dialog.replace_blocks.preview.warning_tile;Zastępowanie encji bloku może dodawać, usuwać lub aktualizować encje bloku. Przetestuj na skopiowanych światach przed zastosowaniem.
dialog.replace_blocks.preview.warning_light;Bieżąca implementacja ReplaceBlocks może usunąć tablice światła z %d przetworzonych sekcji.
dialog.replace_blocks.preview.warning_adjacent_relight;Rzeczywista zmiana może zaktualizować znaczniki ponownego oświetlenia w maksymalnie %d sąsiednich chunkach poza zaznaczeniem; żadne bloki nie są tam zastępowane.
dialog.replace_blocks.preview.warning_heightmaps;Podczas rzeczywistej zmiany mapy wysokości są przeliczane dla %d zmienionych chunków.
dialog.replace_blocks.preview.warning_unsupported;Podgląd nie jest zaimplementowany dla %d przeskanowanych chunków ze starszych lub nieobsługiwanych wersji.
dialog.replace_blocks.preview.warning_errors;Podgląd pominął %d chunków i %d regionów z powodu błędów:
dialog.progress.title.preview_replace_blocks;Podgląd ReplaceBlocks
dialog.replace_blocks.validation.source_state_snbt;SNBT stanu bloku źródłowego musi być prawidłowym compoundem z wartością Name.
