status.region;régió
dialog.import_chunks_confirmation.header;Ezzel importálsz ismeretlen mennyiségű chunkot a világba.
dialog.import_chunks_confirmation.options;Beállítások
dialog.import_chunks_confirmation.options.offset;Eltolás
dialog.import_chunks_confirmation.options.overwrite;Létező chunkok felülírása
dialog.import_chunks_confirmation.options.selection_only;Csak a kijelölt részre
dialog.import_chunks_confirmation.options.y_offset;Y eltolás
dialog.import_chunks_confirmation.options.sections;Szakaszok
dialog.import_chunks_confirmation.warning;Figyelem: Chunkok eltolással való importálása nem változtatja meg a command blockok tartalmát.
dialog.export_chunks_confirmation.title;Chunkok exportálása
dialog.export_chunks_confirmation.header_short;Ezzel ismeretlen mennyiségű chunkot exportálsz a világból.
dialog.export_chunks_confirmation.header_verbose;Ezzel %d chunkot exportálsz a világból.
dialog.import_selection.title;Kijelölés importálása .csv fájlból
dialog.import_selection.header;A világban már van egy kijelölés.\nHogyan szeretnéd importálni a kijelölést?
dialog.import_selection.overwrite;Felülírás
dialog.import_selection.merge;Egyesítés
dialog.filter_chunks.title;Chunkok szűrése
dialog.filter_chunks.filter.add.tooltip;Új feltétel hozzáadása ez alá.
dialog.filter_chunks.filter.delete.tooltip;Feltétel törlése.
dialog.filter_chunks.filter.type.tooltip;A feltétel típusa.
dialog.filter_chunks.filter.operator.tooltip;Több feltételt összekötő operátor.
dialog.filter_chunks.filter.comparator.tooltip;Az összehasonlító operátor.
dialog.filter_chunks.select;Kijelölés
dialog.filter_chunks.select.tooltip;Kijelöli a megfelelő chunkokat.
dialog.filter_chunks.export;Exportálás
dialog.filter_chunks.export.tooltip;Exportálja a megfelelő chunkokat.
dialog.filter_chunks.delete;Kitörlés
dialog.filter_chunks.delete.tooltip;Kitörli a megfelelő chunkokat.
dialog.filter_chunks.selection_only;Csak a kijelölt chunkokon
dialog.filter_chunks.overwrite_selection;Kijelölés felülírása
dialog.filter_chunks.selection_radius;Kijelölés sugara
dialog.filter_chunks.tab_query;Query
dialog.filter_chunks.tab_script;Script
dialog.edit_overlays.title;Overlayek szerkesztése
dialog.edit_overlays.overlay_active.tooltip;Aktív
dialog.edit_overlays.delete.tooltip;Törlés
dialog.edit_overlays.tab_presets;Sablonok
dialog.edit_overlays.tab_script;Szkript
dialog.edit_overlays.create_overlay;Szegély létrehozása
dialog.change_nbt.title;NBT Változtatása
dialog.change_nbt.change;Változtatás
dialog.change_nbt.change.tooltip;Megváltoztatja az értéket, ha az adott kulcs létezik.
dialog.change_nbt.force;Változtatás kényszerítése
dialog.change_nbt.force.tooltip;Létrehozza a címkét, ha az nem létezik.
dialog.change_nbt.selection_only;Csak a kijelölt chunkokon
dialog.change_nbt.selection_only.tooltip;Csak a kijelölt chunkokra hasson a szűrés.
dialog.change_nbt_confirmation.title;NBT Változtatása
dialog.change_nbt_confirmation.header_short;Ezzel ismeretlen számú chunkban megváltoztatsz adatokat.
dialog.change_nbt.tab_query;Query
dialog.change_nbt.tab_script;Script
dialog.edit_nbt.title;Chunk szerkesztése
dialog.edit_nbt.placeholder.loading;betöltés...
dialog.edit_nbt.placeholder.no_chunk_data;chunk adatok nem találhatóak
dialog.edit_nbt.placeholder.no_region_file;régió fájl nem létezik
dialog.edit_array.index;Index
dialog.edit_array.value;Érték
dialog.about.title;Rólunk
dialog.about.header;Az MCA Selector programról
dialog.about.version;Verzió:
dialog.about.version.unknown;ismeretlen
dialog.about.version.check;ellenőrzés
dialog.about.version.checking;ellenőrzés...
dialog.about.version.up_to_date;Friss verzió
dialog.about.version.error;Hiba
dialog.about.license;Licensz:
dialog.about.copyright;Szerzői jog:
dialog.about.source;Forráskód:
dialog.progress.no_files;nincsenek fájlok
dialog.progress.running;futtatás...
dialog.progress.cancelling;visszavonás...
dialog.progress.collecting_data;adatok begyűjtése...
dialog.progress.done;kész.
dialog.progress.scanning_files;Fájlok keresése...
dialog.progress.title.loading_world;Világ betöltése...
dialog.progress.title.deleting_selection;Kijelölés törlése...
dialog.progress.title.creating_image;Kép készítése...
dialog.progress.title.saving_image;Kép mentése...
dialog.progress.title.exporting_selection;Kijelölés exportálása...
dialog.progress.title.importing_chunks;Chunkok importálása...
dialog.progress.title.deleting_filtered_chunks;Szűrt chunkok törlése...
dialog.progress.title.exporting_filtered_chunks;Szűrt chunkok exportálása...
dialog.progress.title.selecting_filtered_chunks;Szűrt chunkok kijelölése...
dialog.progress.title.changing_nbt_data;NBT adatok megváltoztatása...
dialog.progress.title.saving_chunk;Chunk mentése...
dialog.progress.title.running_before;A "before()" végrehajtása...
dialog.progress.title.running_after;Az "after()" végrehajtása...
dialog.progress.title.summing;Számold meg az összeget...
dialog.error.button.copy_to_clipboard;Másolás Vágólapra
dialog.error.title;Hiba
dialog.error.header;Hiba történt
dialog.error.copied_to_clipboard;Vágólapra másolva!
dialog.unsaved_selection.title;Nem mentett kijelölés
dialog.unsaved_selection.header;Van egy nem mentett kijelölés.
dialog.unsaved_script.title;Mentetlen szkript
dialog.unsaved_script.header;Van egy mentetlen szkript.
dialog.request_number.title.array_length;A tömb hossza
dialog.request_number.title.enter_number;Érték
button.cancel;Visszavonás
button.ok;OK
