status.region;bölge
dialog.import_chunks_confirmation.warning;Uyarı: Chunkları bir ofset ile içe aktarmak, komut bloklarının içeriğini güncellemeyecektir.
dialog.export_chunks_confirmation.title;Chunkları Dışa Aktar
dialog.export_chunks_confirmation.header_short;Bu dünyadan bilinmeyen sayıda chunk dışa aktarmak üzeresiniz.
dialog.export_chunks_confirmation.header_verbose;Bu dünyadan %d chunk dışa aktarmak üzeresiniz.
dialog.import_selection.title;Seçimi .csv'den İçe Aktar
dialog.import_selection.header;Bu dünyada zaten bir seçim var.\nYeni seçim nasıl içe aktarılmalıdır?
dialog.import_selection.overwrite;Üzerine yazmak
dialog.import_selection.merge;Ekle
dialog.filter_chunks.title;Chunkları Filtrele
dialog.filter_chunks.filter.add.tooltip;Bunun altına yeni bir koşul ekleyin.
dialog.filter_chunks.filter.delete.tooltip;Bu koşulu silin.
dialog.filter_chunks.filter.type.tooltip;Bu durumun türü.
dialog.filter_chunks.filter.operator.tooltip;Operatör birden çok koşulu birbirine bağlar.
dialog.filter_chunks.filter.comparator.tooltip;Karşılaştırıcı.
dialog.filter_chunks.select;Seç
dialog.filter_chunks.select.tooltip;Etkilenen chunkların bir seçimini oluşturur.
dialog.filter_chunks.export;Dışa Aktar
dialog.filter_chunks.export.tooltip;Etkilenen tüm chunkları yeni bir dizine aktarır.
dialog.filter_chunks.delete;Sil
dialog.filter_chunks.delete.tooltip;Geçerli dünyadan etkilenen tüm chunkları siler.
dialog.filter_chunks.selection_only;Yalnızca seçime uygula
dialog.filter_chunks.overwrite_selection;Seçimin üzerine yaz
dialog.filter_chunks.selection_radius;Seçim yarıçapı
dialog.filter_chunks.tab_query;Sorgu
dialog.filter_chunks.tab_script;Senaryo
dialog.edit_overlays.title;Düzenle
dialog.edit_overlays.overlay_active.tooltip;Aktif
dialog.edit_overlays.delete.tooltip;Sil
dialog.edit_overlays.tab_presets;Yer İmleri
dialog.edit_overlays.tab_script;Betik
dialog.edit_overlays.create_overlay;Kaplama Oluştur
dialog.change_nbt.title;NBT'yi değiştir
dialog.change_nbt.change;Değiştir
dialog.change_nbt.change.tooltip;Değeri yalnızca anahtarı varsa değiştirir.
dialog.change_nbt.force;Kuvvet
dialog.change_nbt.force.tooltip;Mevcut değilse etiketi oluşturur.
dialog.change_nbt.selection_only;Yalnızca seçime uygula
dialog.change_nbt.selection_only.tooltip;Bu filtre yalnızca geçerli seçim için geçerliyse.
dialog.change_nbt_confirmation.title;NBT'yi değiştir
dialog.change_nbt_confirmation.header_short;Bu dünyada bilinmeyen sayıda chunk verileri değiştirmek üzeresiniz.
dialog.change_nbt.tab_query;Sorgu
dialog.change_nbt.tab_script;Senaryo
dialog.edit_nbt.title;Chunk'ı Düzenle
dialog.edit_nbt.placeholder.loading;Yükleniyor...
dialog.edit_nbt.placeholder.no_chunk_data;chunk verisi bulunamadı
dialog.edit_nbt.placeholder.no_region_file;bölge dosyası mevcut değil
dialog.edit_array.index;Dizin
dialog.edit_array.value;Değer
dialog.about.title;Hakkında
dialog.about.header;MCA Selector Hakkında
dialog.about.version;Sürüm:
dialog.about.version.unknown;Bilinmeyen
dialog.about.version.check;Kontrol
dialog.about.version.checking;Kontrol Ediliyor...
dialog.about.version.up_to_date;Güncel
dialog.about.version.error;Hata
dialog.about.license;Lisans:
dialog.about.copyright;Telif hakkı:
dialog.about.source;Kaynak:
dialog.progress.no_files;dosya yok
dialog.progress.running;çalışıyor...
dialog.progress.cancelling;iptal ediliyor...
dialog.progress.collecting_data;veri toplanıyor...
dialog.progress.done;tamamlandı.
dialog.progress.scanning_files;Dosyalar taranıyor...
dialog.progress.title.loading_world;Dünya yükleniyor...
dialog.progress.title.deleting_selection;Seçim siliniyor...
dialog.progress.title.creating_image;Görüntü oluşturuluyor...
dialog.progress.title.saving_image;Resim kaydediliyor...
dialog.progress.title.exporting_selection;Seçim dışa aktarılıyor...
dialog.progress.title.importing_chunks;Parçalar içe aktarılıyor...
dialog.progress.title.deleting_filtered_chunks;Filtrelenmiş chunklar siliniyor...
dialog.progress.title.exporting_filtered_chunks;Filtrelenmiş chunklar dışa aktarılıyor...
dialog.progress.title.selecting_filtered_chunks;Filtrelenmiş chunklar seçiliyor...
dialog.progress.title.changing_nbt_data;NBT verileri değiştiriliyor...
dialog.progress.title.saving_chunk;Chunk kaydediliyor...
dialog.progress.title.running_before;"before()" işlemini yürütün...
dialog.progress.title.running_after;"after()" işlemini yürütün...
dialog.progress.title.summing;Miktarı sayın...
dialog.error.button.copy_to_clipboard;Panoya kopyala
dialog.error.title;Hata
dialog.error.header;Bir hata oluştu
dialog.error.copied_to_clipboard;Panoya kopyalandı!
dialog.unsaved_selection.title;Kaydedilmemiş seçim
dialog.unsaved_selection.header;Kaydedilmemiş bir seçim var.
dialog.unsaved_script.title;Kaydedilmemiş script
dialog.unsaved_script.header;Kaydedilmemiş bir script var.
dialog.request_number.title.array_length;Dizinin uzunluğu
dialog.request_number.title.enter_number;Değer
button.cancel;İptal
button.ok;Tamam
