status.region;Região
dialog.import_chunks_confirmation.options;Opções
dialog.import_chunks_confirmation.options.offset;Descolamento
dialog.import_chunks_confirmation.options.overwrite;Sobrescrever chunks existentes
dialog.import_chunks_confirmation.options.selection_only;Aplicar somente na seleção.
dialog.import_chunks_confirmation.options.y_offset;Deslocamento Y
dialog.import_chunks_confirmation.options.sections;Seções
dialog.import_chunks_confirmation.warning;Advertencia:A importação de chunks deslocados no espaço não atualizará as coordenadas dos blocos de comandos.
dialog.export_chunks_confirmation.title;Exportar chunks
dialog.export_chunks_confirmation.header_short;Você está prestes a exportar um número desconhecido de Chunks desse mundo.
dialog.export_chunks_confirmation.header_verbose;Serão exportados %d chunks desse mundo.
dialog.import_selection.title;Importar seleção de .csv
dialog.import_selection.header;Este mundo já tem uma seleção.\nComo a nova seleção deve ser importada?
dialog.import_selection.overwrite;Substituir
dialog.import_selection.merge;Adicionar
dialog.filter_chunks.title;Filtrar chunks
dialog.filter_chunks.filter.add.tooltip;Adicionar nova condição sobre essa.
dialog.filter_chunks.filter.delete.tooltip;Apagar essa condição.
dialog.filter_chunks.filter.type.tooltip;Tipo dessa condição.
dialog.filter_chunks.filter.operator.tooltip;Operador para vincular múltiplas condições.
dialog.filter_chunks.filter.comparator.tooltip;Comparador.
dialog.filter_chunks.select;Seleção
dialog.filter_chunks.select.tooltip;Cria uma seleção de todos os chunks afetados.
dialog.filter_chunks.export;Exportar
dialog.filter_chunks.export.tooltip;Exporta todos os chunks afetados a uma nova pasta.
dialog.filter_chunks.delete;Apagar
dialog.filter_chunks.delete.tooltip;Apaga todos os chunks afetados do mundo atual.
dialog.filter_chunks.selection_only;Aplicar somente na seleção.
dialog.filter_chunks.overwrite_selection;Sobrescrever a seleção
dialog.filter_chunks.selection_radius;Raio de seleção
dialog.filter_chunks.tab_query;Query
dialog.filter_chunks.tab_script;Script
dialog.edit_overlays.title;Editar sobreposições
dialog.edit_overlays.overlay_active.tooltip;Ativo
dialog.edit_overlays.delete.tooltip;Excluir
dialog.edit_overlays.tab_presets;Sobreposições
dialog.edit_overlays.tab_script;Script
dialog.edit_overlays.create_overlay;Criar Sobreposição
dialog.change_nbt.title;Alterar NBT
dialog.change_nbt.change;Alterar
dialog.change_nbt.change.tooltip;Altera o valor apenas se sua chave existir.
dialog.change_nbt.force;Forçar
dialog.change_nbt.force.tooltip;Criar tag caso não exista.
dialog.change_nbt.selection_only;Aplicar somente na seleção.
dialog.change_nbt.selection_only.tooltip;Se esse filtro aplica-se apenas à seleção atual.
dialog.change_nbt_confirmation.title;Alterar NBT
dialog.change_nbt_confirmation.header_short;Serão alterados os dados em um número desconhecido de chunks desse mundo.
dialog.change_nbt.tab_query;Query
dialog.change_nbt.tab_script;Script
dialog.edit_nbt.title;Editar chunk
dialog.edit_nbt.placeholder.loading;carregando...
dialog.edit_nbt.placeholder.no_chunk_data;nenhum dado de bloco chunk
dialog.edit_nbt.placeholder.no_region_file;arquivo de região não existe
dialog.edit_array.index;Índice
dialog.edit_array.value;Valor
dialog.about.title;Sobre
dialog.about.header;Sobre o MCA Selector
dialog.about.version;Versão:
dialog.about.version.unknown;Desconhecido
dialog.about.version.check;Analizar
dialog.about.version.checking;Analizando...
dialog.about.version.up_to_date;Atualizar
dialog.about.version.error;Erro
dialog.about.license;Licença:
dialog.about.copyright;Copyright:
dialog.about.source;Fonte:
dialog.progress.no_files;Não há arquivos
dialog.progress.running;Executando...
dialog.progress.cancelling;Cancelando...
dialog.progress.collecting_data;Coletando dados...
dialog.progress.done;Concluido.
dialog.progress.scanning_files;Verificando arquivos...
dialog.progress.title.loading_world;Carregando mundo...
dialog.progress.title.deleting_selection;Apagando seleção...
dialog.progress.title.creating_image;Criando imagem...
dialog.progress.title.saving_image;Salvando imagem...
dialog.progress.title.exporting_selection;Exportando seleção...
dialog.progress.title.importing_chunks;Importando chunks...
dialog.progress.title.deleting_filtered_chunks;Apagando chunks filtrados...
dialog.progress.title.exporting_filtered_chunks;Exportando chunks filtrados...
dialog.progress.title.selecting_filtered_chunks;Selecionando chunks filtrados...
dialog.progress.title.changing_nbt_data;Alterando dados do NBT...
dialog.progress.title.saving_chunk;Salvando chunk no arquivo...
dialog.progress.title.running_before;Ejecutar "before()"...
dialog.progress.title.running_after;Ejecutar "after()"...
dialog.progress.title.summing;Cuenta la cantidad...
dialog.error.button.copy_to_clipboard;Copiar para área de transferência
dialog.error.title;Erro
dialog.error.header;Um erro ocorreu
dialog.error.copied_to_clipboard;Copiado para a área de transferência!
dialog.unsaved_selection.title;Seleção não salva
dialog.unsaved_selection.header;Há uma seleção não salva.
dialog.unsaved_script.title;Script não salvo
dialog.unsaved_script.header;Há um script não salvo.
dialog.request_number.title.array_length;Comprimento da matriz
dialog.request_number.title.enter_number;Valor
button.cancel;Cancelar
button.ok;OK
