status.region;región
dialog.progress.title.creating_image;Creando imagen...
dialog.progress.title.saving_image;Guardando imagen...
dialog.progress.title.exporting_selection;Exportando selección...
dialog.progress.title.importing_chunks;Importando chunks...
dialog.progress.title.deleting_filtered_chunks;Borrando chunks filtrados...
dialog.progress.title.exporting_filtered_chunks;Exportando chunks filtrados...
dialog.progress.title.selecting_filtered_chunks;Seleccionando chunks filtrados...
dialog.progress.title.changing_nbt_data;Cambiando datos NBT...
dialog.progress.title.saving_chunk;Guardando fragmento en archivo...
dialog.progress.title.running_before;Ejecutar "before()"...
dialog.progress.title.running_after;Ejecutar "after()"...
dialog.progress.title.summing;Contar...
dialog.error.button.copy_to_clipboard;Copiar al portapapeles
dialog.error.title;Error
dialog.error.header;Ocurrió un error
dialog.error.copied_to_clipboard;¡Copiado al portapapeles!
dialog.unsaved_selection.title;Selección no guardada
dialog.unsaved_selection.header;Hay una selección sin guardar.
dialog.unsaved_script.title;Script no guardado
dialog.unsaved_script.header;Hay un script no guardado.
dialog.request_number.title.array_length;Longitud de la matriz
dialog.request_number.title.enter_number;Valor
button.cancel;Cancelar
button.ok;OK
