status.region;区域
dialog.settings.rendering.background.show_nonexistent_regions;显示不存在的区域
dialog.settings.rendering.smooth.smooth_rendering;平滑渲染
dialog.settings.rendering.smooth.smooth_overlays;平滑叠加
dialog.settings.rendering.background.background_pattern;背景图案
dialog.settings.rendering.background;背景
dialog.settings.rendering.zoom_level.low_detail_zoom_level;低细节缩放级别
dialog.settings.rendering.zoom_level.low_detail_color;低细节颜色
dialog.settings.rendering.zoom_level;缩放级别
dialog.settings.global.misc.mc_saves_dir;Minecraft 存档目录
dialog.settings.global.misc.print_debug;打印调试信息
dialog.settings.global.misc.show_log_file;显示日志文件
dialog.settings.reset;重置
dialog.settings.set_default;设为默认
dialog.settings.tab_global;全局
dialog.settings.tab_processing;处理
dialog.settings.tab_rendering;渲染
dialog.settings.tab_world;世界
dialog.settings.global.misc;杂项
dialog.settings.processing.files;文件
dialog.settings.rendering.smooth;平滑
dialog.settings.global.selection;选区
dialog.settings.world.paths;路径
dialog.settings.world.paths.poi;兴趣点
dialog.settings.world.paths.entities;实体
dialog.settings.rendering.layers.render_height;渲染高度
dialog.settings.rendering.layers.render_layer_only;仅渲染此层
dialog.settings.rendering.layers;层
dialog.settings.rendering.structure_icons;结构图标
dialog.settings.rendering.structure_icon_size;图标大小
dialog.settings.rendering.structure_icon_border_size;边框大小
dialog.settings.rendering.layers.render_caves;渲染洞穴
dialog.goto.title;转到位置
dialog.confirmation.question;你确定吗？
dialog.delete_chunks_confirmation.title;删除区块
dialog.delete_chunks_confirmation.header_short;你将要从这个世界中删除未知数量的区块。
dialog.delete_chunks_confirmation.header_verbose;你将要从这个世界中删除 %d 个区块。
dialog.image_export_confirmation.title;导出图片
dialog.image_export_confirmation.header_short;你将要创建未知比例的图片。
dialog.image_export_confirmation.header_verbose;你将要创建尺寸为 %dx%d 的图片。
dialog.import_chunks_confirmation.title;导入区块
dialog.import_chunks_confirmation.header;你将要向这个世界导入未知数量的区块。
dialog.import_chunks_confirmation.options;选项
dialog.import_chunks_confirmation.options.offset;偏移
dialog.import_chunks_confirmation.options.overwrite;覆写现有区块
dialog.import_chunks_confirmation.options.selection_only;仅应用于选区
dialog.import_chunks_confirmation.options.y_offset;Y坐标偏移量
dialog.import_chunks_confirmation.options.sections;部分
dialog.import_chunks_confirmation.warning;警告: 导入带有偏移的区块不会更新命令方块的内容。
dialog.export_chunks_confirmation.title;导出区块
dialog.export_chunks_confirmation.header_short;你将要从这个世界导出未知数量的区块。
dialog.export_chunks_confirmation.header_verbose;你将要从这个世界导出 %d 个区块。
dialog.import_selection.title;从 .csv 导入选区
dialog.import_selection.header;这个世界已有一个选区。\n你想如何导入新的选区？
dialog.import_selection.overwrite;覆写
dialog.import_selection.merge;合并
dialog.import_selection.subtract;相减
dialog.filter_chunks.title;筛选区块
dialog.filter_chunks.filter.add.tooltip;在此条件下添加新条件。
dialog.filter_chunks.filter.delete.tooltip;删除此条件。
dialog.filter_chunks.filter.type.tooltip;此条件的类型。
dialog.filter_chunks.filter.operator.tooltip;链接多个条件的运算符。
dialog.filter_chunks.filter.comparator.tooltip;比较符。
dialog.filter_chunks.select;选择
dialog.filter_chunks.select.tooltip;创建受影响的区块的选区。
dialog.filter_chunks.export;导出
dialog.filter_chunks.export.tooltip;将所有受影响的区块导出到新目录中。
dialog.filter_chunks.delete;删除
dialog.filter_chunks.delete.tooltip;从当前世界中删除所有受影响的区块。
dialog.filter_chunks.selection_only;仅应用于选区
dialog.filter_chunks.add_selection;添加选区
dialog.filter_chunks.subtract_selection;减去选区
dialog.filter_chunks.selection_radius;选区半径
dialog.filter_chunks.tab_query;查询
dialog.filter_chunks.tab_script;脚本
dialog.edit_overlays.title;编辑叠加
dialog.edit_overlays.overlay_active.tooltip;活跃
dialog.edit_overlays.delete.tooltip;删除
dialog.edit_overlays.tab_presets;叠加
dialog.edit_overlays.tab_script;脚本
dialog.edit_overlays.create_overlay;创建叠加
dialog.change_nbt.title;更改 NBT
dialog.change_nbt.change;更改
dialog.change_nbt.change.tooltip;仅当其键存在时更改值。
dialog.change_nbt.force;强制
dialog.change_nbt.force.tooltip;如果标签不存在，则创建标签。
dialog.change_nbt.selection_only;仅作用于选区
dialog.change_nbt.selection_only.tooltip;此筛选器只作用于当前选区。
dialog.change_nbt_confirmation.title;更改 NBT
dialog.change_nbt_confirmation.header_short;你将要在此世界中更改未知数量的区块的数据。
dialog.change_nbt.tab_query;查询
dialog.change_nbt.tab_script;脚本
dialog.edit_nbt.title;编辑区块
dialog.edit_nbt.placeholder.loading;加载中…
dialog.edit_nbt.placeholder.no_chunk_data;找不到区块数据
dialog.edit_nbt.placeholder.no_region_file;区域文件不存在
dialog.edit_array.index;索引
dialog.edit_array.value;值
dialog.about.title;关于
dialog.about.header;关于 MCA Selector
dialog.about.version;版本：
dialog.about.version.unknown;未知
dialog.about.version.check;检查
dialog.about.version.checking;正在检查…
dialog.about.version.up_to_date;最新
dialog.about.version.error;错误
dialog.about.license;许可:
dialog.about.copyright;版权:
dialog.about.source;源:
dialog.progress.no_files;没有文件
dialog.progress.running;正在运行…
dialog.progress.cancelling;正在取消…
dialog.progress.collecting_data;正在收集数据…
dialog.progress.done;完成。
dialog.progress.scanning_files;正在扫描文件…
dialog.progress.title.loading_world;正在加载世界…
dialog.progress.title.deleting_selection;正在删除选区…
dialog.progress.title.creating_image;正在创建图片…
dialog.progress.title.saving_image;正在保存图片…
dialog.progress.title.exporting_selection;正在导出选区…
dialog.progress.title.importing_chunks;正在导入区块…
dialog.progress.title.deleting_filtered_chunks;正在删除筛选的区块…
dialog.progress.title.exporting_filtered_chunks;正在导出筛选的区块…
dialog.progress.title.selecting_filtered_chunks;正在选择筛选的区块…
dialog.progress.title.changing_nbt_data;正在更改 NBT 数据…
dialog.progress.title.saving_chunk;正在保存区块…
dialog.progress.title.running_before;正在执行 before()
dialog.progress.title.running_after;正在执行 after()
dialog.progress.title.summing;正在求和…
dialog.error.button.copy_to_clipboard;复制到剪贴板
dialog.error.title;错误
dialog.error.header;发生错误
dialog.error.copied_to_clipboard;已复制到剪贴板！
dialog.unsaved_selection.title;未保存的选区
dialog.unsaved_selection.header;有一个未保存的选区。
dialog.unsaved_script.title;未保存的脚本
dialog.unsaved_script.header;有一个未保存的脚本。
dialog.request_number.title.array_length;数组长度
dialog.request_number.title.enter_number;输入数字
button.cancel;取消
button.ok;确定
dialog.replace_blocks.builder.button;构建器
dialog.replace_blocks.builder.title;ReplaceBlocks 构建器
dialog.replace_blocks.builder.from;来源方块
dialog.replace_blocks.builder.to;目标方块
dialog.replace_blocks.builder.add_rule;添加规则
dialog.replace_blocks.builder.delete_rule;删除规则
dialog.replace_blocks.builder.rules;规则
dialog.replace_blocks.builder.rules.empty;尚未添加规则。填写来源方块和目标方块，然后点击“添加规则”。
dialog.replace_blocks.builder.result;生成的 ReplaceBlocks 表达式
dialog.replace_blocks.builder.invalid;方块 ID 或生成规则无效。
dialog.replace_blocks.builder.duplicate;这条规则已存在。
dialog.replace_blocks.builder.empty;请至少添加一条规则。
dialog.replace_blocks.builder.advanced;来源方块和目标方块可输入包含 Name 的完整方块状态 SNBT。其他复杂规则可直接编辑 ReplaceBlocks 表达式。
dialog.replace_blocks.builder.tile_source.any;附加 NBT：不限
dialog.replace_blocks.builder.tile_source.require;附加 NBT：有
dialog.replace_blocks.builder.tile_source.exclude;附加 NBT：无
dialog.replace_blocks.builder.y_min;最低 Y
dialog.replace_blocks.builder.y_max;最高 Y
dialog.replace_blocks.builder.biome;生物群系
dialog.replace_blocks.builder.biome.prompt;minecraft:plains;minecraft:forest
dialog.replace_blocks.builder.source_constraints;来源限制（可选）
dialog.replace_blocks.builder.catalog;方块目录
dialog.replace_blocks.builder.catalog_switch.title;切换方块目录
dialog.replace_blocks.builder.catalog_switch.message;从 %s 切换到 %s 将丢失构建器中的所有规则、草稿和选择。是否继续？
dialog.replace_blocks.builder.catalog.note;仅控制方块候选和属性，不会转换 ID；构建器有内容时，切换前会确认，确认后清空内容。
dialog.replace_blocks.builder.catalog.source_unknown;来源“%s”不在 Java %s 目录中；仍会接受并按原样保存。
dialog.replace_blocks.builder.catalog.target_unknown;目标“%s”不在 Java %s 目录中；仍会接受，但请确认目标世界版本支持该 ID。
dialog.replace_blocks.builder.preset.persist_failed;无法写入配置，预设更改已回滚。
dialog.replace_blocks.builder.preset;预设
dialog.replace_blocks.builder.preset.prompt;选择预设
dialog.replace_blocks.builder.preset.apply;填入预设
dialog.replace_blocks.builder.preset.save;存为预设
dialog.replace_blocks.builder.preset.delete;删除预设
dialog.replace_blocks.builder.preset.title;ReplaceBlocks 预设
dialog.replace_blocks.builder.preset.save.title;保存 ReplaceBlocks 预设
dialog.replace_blocks.builder.preset.save.header;将当前生成的规则保存为可重复使用的构建器预设。
dialog.replace_blocks.builder.preset.save.name;预设名称
dialog.replace_blocks.builder.preset.name_empty;请输入预设名称。
dialog.replace_blocks.builder.preset.builtin_locked;不能覆盖内置预设名称。
dialog.replace_blocks.builder.preset.overwrite_confirm;已存在名为“%s”的预设。要覆盖吗？
dialog.replace_blocks.builder.preset.delete_confirm;删除预设“%s”？
dialog.replace_blocks.builder.preset.replace_confirm;载入这个预设会替换当前构建器规则和正在编辑的输入。
dialog.replace_blocks.builder.preset.saved;预设“%s”已保存。
dialog.replace_blocks.builder.preset.already_filled;这个预设已经填入规则区。
dialog.replace_blocks.builder.discard.title;放弃构建器更改？
dialog.replace_blocks.builder.discard.header;要放弃本次构建器更改吗？ReplaceBlocks 输入框将保持打开构建器前的内容。
dialog.replace_blocks.builder.discard.action;放弃更改
dialog.replace_blocks.builder.continue_editing.action;继续编辑
dialog.replace_blocks.builder.preset.air_to_stone;空气 -> 石头
dialog.replace_blocks.builder.preset.fluids_to_air;流体 -> 空气
dialog.replace_blocks.builder.preset.logs_leaves_to_air;原木/树叶 -> 空气
dialog.replace_blocks.builder.preset.ores_to_stone;矿石 -> 石头
dialog.replace_blocks.builder.preset.containers_to_air;带附加 NBT 的容器 -> 空气
dialog.replace_blocks.builder.preset.warning_air;空气替换可能创建缺失或稀疏区段。请先在小范围复制世界中预览。
dialog.replace_blocks.builder.preset.warning_containers;容器预设只匹配存在附加 NBT 的位置，但替换仍可能移除箱子等内部内容。请先在复制世界中预览。
dialog.replace_blocks.builder.edit_rule;载入编辑
dialog.replace_blocks.builder.property.all;全部
dialog.replace_blocks.builder.help.button;帮助
dialog.replace_blocks.builder.help.title;ReplaceBlocks 构建器帮助
dialog.replace_blocks.builder.help.nbt.title;附加 NBT 条件
dialog.replace_blocks.builder.help.nbt.intro;附加 NBT 是保存在方块位置上的额外数据，例如告示牌文字、箱子物品、熔炉进度或命令方块命令。这里的选项只判断来源方块位置是否有这类数据，不检查具体内容。
dialog.replace_blocks.builder.help.nbt.any;附加NBT：不限 - 只按方块名称和属性匹配；有无附加数据都可以。适合普通方块，或你确定可以替换并丢弃原有附加数据的情况。
dialog.replace_blocks.builder.help.nbt.present;附加NBT：有 - 只匹配已经带有附加数据的位置。适合专门处理箱子、木桶、告示牌、熔炉、刷怪笼等数据方块；生成 tile(...)。
dialog.replace_blocks.builder.help.nbt.absent;附加NBT：无 - 只匹配没有附加数据的位置。适合避开容器内容、告示牌文字等数据，或清理异常的同名无实体方块；生成 no_tile(...)。
dialog.replace_blocks.builder.help.nbt.note;该设置只过滤来源方块。目标方块如果需要写入方块实体 SNBT，目前仍通过高级文本输入完成。
dialog.replace_blocks.builder.help.biome.title;生物群系条件
dialog.replace_blocks.builder.help.biome.intro;生物群系过滤会检查每个候选方块位置所属的生物群系。现代 1.18+ 区块中，一个生物群系值覆盖 4x4x4 方块区域，因此同一单元内的相邻方块会使用同一个生物群系判断。
dialog.replace_blocks.builder.help.biome.syntax;构建器的生物群系输入框留空表示不限制。可输入一个或多个生物群系 ID，多个用分号分隔；生成规则使用 biome(..., source)。
dialog.replace_blocks.validation.source_empty;请输入来源方块 ID。
dialog.replace_blocks.validation.target_empty;请输入目标方块 ID。
dialog.replace_blocks.validation.source_unknown;未知来源方块 "%s"。
dialog.replace_blocks.validation.target_unknown;未知目标方块 "%s"。
dialog.replace_blocks.validation.source_format;来源方块 ID 应类似 minecraft:stone 或 modid:block_name。
dialog.replace_blocks.validation.target_format;目标方块 ID 应类似 minecraft:dirt 或 modid:block_name。
dialog.replace_blocks.validation.missing_equals;每条 ReplaceBlocks 规则都需要 from=to。
dialog.replace_blocks.validation.state_snbt;方块状态 SNBT 必须是合法 compound，例如 {Name:"minecraft:stone"}。
dialog.replace_blocks.validation.tile_empty;; 后缺少方块实体 SNBT。
dialog.replace_blocks.validation.tile_snbt;方块实体 SNBT 必须是合法 compound。
dialog.replace_blocks.validation.trailing;规则后有意外文本。多条规则请用逗号分隔。
dialog.replace_blocks.validation.target_quote;带引号的目标方块缺少结束引号。
dialog.replace_blocks.validation.quoted_target_ambiguous;带引号的目标方块接多规则或 tile SNBT 时较脆弱。请改用 {Name:"modid:block"}。
dialog.replace_blocks.validation.source_regex;来源 "%s" 在匹配方块时会被当作 Java 正则。
dialog.replace_blocks.validation.source_mode_wrapper;来源模式包装器必须是 literal(...)、regex(...)、props(...)、tile(...) 或 no_tile(...)。
dialog.replace_blocks.validation.source_literal;literal(...) 来源必须包含有效方块 ID。无效来源："%s"。
dialog.replace_blocks.validation.source_regex_syntax;regex(...) 来源必须包含有效的 Java 正则。
dialog.replace_blocks.validation.source_props;props(...) 来源必须包含带 Name 且至少选择一个属性的方块状态 SNBT。
dialog.replace_blocks.validation.source_y_range;y(...) 来源必须使用 min..max，并且至少填写一个整数边界，例如 y(-64..64, literal(minecraft:stone))。
dialog.replace_blocks.validation.source_biome;biome(...) 来源必须使用有效的生物群系 ID，多个用分号分隔，并在逗号后跟一个来源表达式，例如 biome(minecraft:plains, literal(minecraft:stone))。
dialog.change_nbt.query_invalid;更改查询无效：%s
dialog.change_nbt.replace_blocks_query_quote;在高级查询框中，ReplaceBlocks 的值需要用英文双引号包住，例如 ReplaceBlocks = "minecraft:stone=minecraft:dirt"。
dialog.replace_blocks.preview.button;预览
dialog.replace_blocks.preview.title;ReplaceBlocks 预览
dialog.replace_blocks.preview.no_field;请先输入有效的 ReplaceBlocks 值，再运行预览。
dialog.replace_blocks.preview.result;试运行完成。\n扫描区域：%d\n扫描区块：%d\n受影响区块：%d\n受影响区段：%d\n匹配方块数：%d\n将新增方块实体：%d\n将移除方块实体：%d\n将更新方块实体：%d
dialog.replace_blocks.preview.rules;规则命中：
dialog.replace_blocks.preview.rule;#%d [%s] %s -> %s：%d
dialog.replace_blocks.preview.warning_air;替换空气时可能会先补全缺失区段。预览已计入 %d 个缺失或不完整的空气区段。
dialog.replace_blocks.preview.warning_overlap;%d 个方块位置同时命中多条规则。逐规则计数会分别计入每条命中规则，所以合计可能高于匹配方块数。
dialog.replace_blocks.preview.warning_tile;方块实体替换可能新增、移除或更新 block entity。正式应用前请先用复制世界测试。
dialog.replace_blocks.preview.warning_light;实际执行会移除 %d 个受影响 section 的光照数组。
dialog.replace_blocks.preview.warning_adjacent_relight;实际执行可能会在选择区外最多 %d 个相邻区块中更新重新光照标记；这些区块中的方块不会被替换。
dialog.replace_blocks.preview.warning_heightmaps;实际执行会对 %d 个受影响 chunk 重算高度图。
dialog.replace_blocks.preview.warning_unsupported;有 %d 个已扫描 chunk 属于较旧或暂不支持版本，未进行预览。
dialog.replace_blocks.preview.warning_errors;预览因错误跳过了 %d 个 chunk 和 %d 个 region：
dialog.progress.title.preview_replace_blocks;预览 ReplaceBlocks
dialog.replace_blocks.validation.source_state_snbt;来源方块状态 SNBT 必须是包含 Name 的合法 compound。
